title,system-identifier,publication-date,doi,is-conference,journal-title,journal-id-pbn,journal-id-issn,journal-id-eissn,journal-ministerial-list,journal-points,author-given-names,author-family-name,author-id-system,author-id-pbn,author-id-orcid,author-affiliated-to-unit,author-employed-in-unit
Cumulants of Jack symmetric functions and b-conjecture (extended abstract),267e20be-e440-4e92-ab4b-02d5b187224b,2016,,,DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,,47793,,A,20,Maciej Wojciech,Dołęga,,3963624,,TRUE,TRUE
Cumulants of Jack symmetric functions and the b-conjecture,9c468429-d4ab-48d5-99f6-b29ed85768b7,2017,10.1090/tran/7191,,TRANSACTIONS OF THE AMERICAN MATHEMATICAL SOCIETY,21371,,,A,40,Maciej Wojciech,Dołęga,,3963624,,TRUE,TRUE
D-optimal and highly D-efficient designs with non-negatively correlated observations,fd36df85-7d8b-4ec2-bd2e-321577c9bc3f,2016,10.14736/kyb-2016-4-0575,,KYBERNETIKA,23104,,,A,15,Krystyna,Katulska,021470,1480284,,TRUE,TRUE
D-optimal and highly D-efficient designs with non-negatively correlated observations,fd36df85-7d8b-4ec2-bd2e-321577c9bc3f,2016,10.14736/kyb-2016-4-0575,,KYBERNETIKA,23104,,,A,15,Łukasz,Smaga,200621,3993619,,TRUE,TRUE
D-optimal chemical balance weighing designs with autoregressive errors,b810f7cb-6c96-4ba0-b568-49b2ae6bb6d2,2013,10.1007/s00184-012-0394-8,,METRIKA,,23274,23274,A,20,Krystyna,Katulska,021470,1480284,,TRUE,TRUE
D-optimal chemical balance weighing designs with autoregressive errors,b810f7cb-6c96-4ba0-b568-49b2ae6bb6d2,2013,10.1007/s00184-012-0394-8,,METRIKA,,23274,23274,A,20,Łukasz,Smaga,200621,3993619,,TRUE,TRUE
Decomposition of Minkowski–Rådström–Hörmander Space to the Direct Sum of Symmetric and Asymmetric Subspaces,8c3600a5-1622-41f8-acc3-2ce04503ec71,2013,10.1007/s11228-013-0231-x,,Set-Valued and Variational Analysis,,41201,41201,A,30,Hubert,Przybycień,106647,1480322,,TRUE,TRUE
Decomposition of Minkowski–Rådström–Hörmander Space to the Direct Sum of Symmetric and Asymmetric Subspaces,8c3600a5-1622-41f8-acc3-2ce04503ec71,2013,10.1007/s11228-013-0231-x,,Set-Valued and Variational Analysis,,41201,41201,A,30,Ryszard,Urbański,021418,923977,,TRUE,TRUE
Decomposition of Minkowski–Rådström–Hörmander Space to the Direct Sum of Symmetric and Asymmetric Subspaces,8c3600a5-1622-41f8-acc3-2ce04503ec71,2013,10.1007/s11228-013-0231-x,,Set-Valued and Variational Analysis,,41201,41201,A,30,Jerzy Aleksander,Grzybowski,,1480339,,TRUE,TRUE
Designing a competition for autonomous robots with a restricted set of sensors with a case study of LEGO NXT,jbibtex-1,2014,10.14313/JAMRIS_1-2014/10,,Journal of Automation Mobile Robotics and Intelligent Systems,,41392,41392,B,12,Wojciech,Czarnecki,,3980751,,TRUE,
Designing a competition for autonomous robots with a restricted set of sensors with a case study of LEGO NXT,jbibtex-1,2014,10.14313/JAMRIS_1-2014/10,,Journal of Automation Mobile Robotics and Intelligent Systems,,41392,41392,B,12,Krzysztof,Szarzyński,,,,TRUE,
Designing a competition for autonomous robots with a restricted set of sensors with a case study of LEGO NXT,jbibtex-1,2014,10.14313/JAMRIS_1-2014/10,,Journal of Automation Mobile Robotics and Intelligent Systems,,41392,41392,B,12,Andrzej,Wójtowicz,,3990306,,TRUE,
Determinanty swap spreadów w Polsce,0042983d-a7eb-4f9a-bf8e-4eb3dc440305,2014,10.12775/AUNC_ECON.2014.007,,"Acta Universitatis Nicolai Copernici, Ekonomia",,43146,43146,B,7,Piotr Ryszard,Płuciennik,,3934775,,TRUE,TRUE
Development of a Fuzzy-Driven System for Ovarian Tumor Diagnosis,25660056-9408-4708-a408-f6f5e83a11cf,2016,10.1016/j.bbe.2016.08.003,,Biocybernetics and Biomedical Engineering,26594,,,A,15,Krzysztof,Dyczkowski,,1480318,,TRUE,TRUE
Development of a Fuzzy-Driven System for Ovarian Tumor Diagnosis,25660056-9408-4708-a408-f6f5e83a11cf,2016,10.1016/j.bbe.2016.08.003,,Biocybernetics and Biomedical Engineering,26594,,,A,15,Anna,Stachowiak,,1480351,,TRUE,TRUE
Development of a Fuzzy-Driven System for Ovarian Tumor Diagnosis,25660056-9408-4708-a408-f6f5e83a11cf,2016,10.1016/j.bbe.2016.08.003,,Biocybernetics and Biomedical Engineering,26594,,,A,15,Patryk,Żywica,,3992437,,TRUE,TRUE
Development of a Fuzzy-Driven System for Ovarian Tumor Diagnosis,25660056-9408-4708-a408-f6f5e83a11cf,2016,10.1016/j.bbe.2016.08.003,,Biocybernetics and Biomedical Engineering,26594,,,A,15,Andrzej,Wójtowicz,,3990306,,TRUE,
Diagonal and unscaled Wald-type tests in general factorial designs,048029a3-0e73-44e8-a2a8-9e58b452c5e4,2017,10.1214/17-EJS1297,,Electronic Journal of Statistics,41559,,,A,30,Łukasz,Smaga,,3993619,,TRUE,TRUE
Differential inclusions and multivalued integrals,f8647642-e76e-42a9-94c4-21d02f1c4d41,2013,10.7151/dmdico1147,,Discussiones Mathematicae Differential Inclusions Control and Optimization,,43215,43215,B,10,Mieczysław,Cichoń,035091,923959,,TRUE,TRUE
Directional reprezentation of data in Linear Discriminant Analysis,a530c550-69f4-4045-a10d-e02e5da6d6e7,2015,10.1515/bile-2015-006,,Biometrical Letters,,41334,,B,12,Jolanta Teresa,Grala-Michalak,,1480324,,TRUE,TRUE
Discriminant coordinates analysis in the case of multivariate repeated measures data,6a24ebd3-402d-40dc-9b7f-fe89cb2f0a33,2018,10.21307/stattrans-2018-027,,STATISTICS IN TRANSITION,35068,,,B,15,Mirosław,Krzyśko,,915410,,TRUE,
Discriminant coordinates analysis in the case of multivariate repeated measures data,6a24ebd3-402d-40dc-9b7f-fe89cb2f0a33,2018,10.21307/stattrans-2018-027,,STATISTICS IN TRANSITION,35068,,,B,15,Waldemar,Wołyński,,923993,,TRUE,TRUE
Distributed algorithms for random graphs.,262c4b9d-f50b-4073-ad0c-a98bf1c3c2f3,2015,10.1016/j.tcs.2015.08.037,,THEORETICAL COMPUTER SCIENCE,,27820,,A,20,Katarzyna Natalia,Rybarczyk-Krzywdzińska,,1480355,,TRUE,TRUE
Distributed approximation algorithms for k-dominating set in graphs of bounded genus and linklessly embeddable graphs Regular Submission,PX-5aa590cad5dec06b52db7133,2017,,TRUE,CEUR Workshop Proceedings,48414,,,,,Michał,Hanćkowiak,,1480316,,TRUE,TRUE
Distributed approximation algorithms for k-dominating set in graphs of bounded genus and linklessly embeddable graphs Regular Submission,PX-5aa590cad5dec06b52db7133,2017,,TRUE,CEUR Workshop Proceedings,48414,,,,,Wojciech Maciej,Wawrzyniak,,1480362,,TRUE,TRUE
Distributed approximation algorithms for k-dominating set in graphs of bounded genus and linklessly embeddable graphs Regular Submission,PX-5aa590cad5dec06b52db7133,2017,,TRUE,CEUR Workshop Proceedings,48414,,,,,Marcin,Witkowski,,3980572,,TRUE,TRUE
Distributed Approximation Algorithms for the Minimum Dominating Set in K_h-Minor-Free Graphs,f42f94c2-1580-42d4-af51-04039bb96a79,2018,10.4230/LIPIcs.ISAAC.2018.22,TRUE,Leibniz International Proceedings in Informatics,48375,,,,,Wojciech Maciej,Wawrzyniak,,1480362,,TRUE,TRUE
Distributed Approximation Algorithms for the Minimum Dominating Set in K_h-Minor-Free Graphs,f42f94c2-1580-42d4-af51-04039bb96a79,2018,10.4230/LIPIcs.ISAAC.2018.22,TRUE,Leibniz International Proceedings in Informatics,48375,,,,,Marcin,Witkowski,,3980572,,TRUE,TRUE
Distributed Approximation Algorithms for the Minimum Dominating Set in K_h-Minor-Free Graphs,f42f94c2-1580-42d4-af51-04039bb96a79,2018,10.4230/LIPIcs.ISAAC.2018.22,TRUE,Leibniz International Proceedings in Informatics,48375,,,,,Michał,Hanćkowiak,,1480316,,TRUE,TRUE
Distribution of Mordell-Weil ranks of families of elliptic curves,PX-58e5ff6dd5de932aa11a9980,2016,10.4064/bc108-0-16,,BANACH CENTER PUBLICATIONS,42895,,,B,14,Bartosz Stanisław,Naskręcki,,3994170,,TRUE,TRUE
Distribution of the displacement sequence of an orientation preserving circle homeomorphism,a5811f2a-579a-4776-bf00-5331a4cc419e,2014,10.1080/14689367.2013.868867,,DYNAMICAL SYSTEMS-AN INTERNATIONAL JOURNAL,37096,,,A,20,Wacław Bolesław,Marzantowicz,,1480294,,TRUE,TRUE
Distribution of zeros and disconjugacy of fourth order differential equations,cc3619e6-2797-4395-8352-8cb561e0f306,2016,10.1002/mana.201200114,,MATHEMATISCHE NACHRICHTEN,,23231,23231,A,30,Ireneusz,Kubiaczyk,,924055,,TRUE,TRUE
Divisibility sequences of polynomials and heights estimates,PX-58dc08b7d5de83e77266a7e4,2016,,,New York Journal of Mathematics,47750,,,A,20,Bartosz Stanisław,Naskręcki,,3994170,,TRUE,TRUE
Domination and factorization of multilinear operators,7cc3b22a-c8c8-4711-aee0-5b562669bf39,2013,,,JOURNAL OF CONVEX ANALYSIS,31165,,,A,30,Mieczysław,Mastyło,027096,971105,,TRUE,TRUE
Dowód w matematyce – dziś i jutro,PX-58ea37b5d5de475251a3c84a,2013,,,Filozofia Nauki,34945,,,C,15,Roman,Murawski,,1480282,,TRUE,TRUE
Dual space of the Minkowski-Rådström-Hörmander space over R^2,ca4ff19c-8d16-436a-97e5-4fd8cc70b3ba,2014,10.7169/facm/2014.50.1.9,,"Functiones et Approximatio, Commentarii Mathematici",,42519,42519,B,14,Jerzy Aleksander,Grzybowski,,1480339,,TRUE,TRUE
Dual space of the Minkowski-Rådström-Hörmander space over R^2,ca4ff19c-8d16-436a-97e5-4fd8cc70b3ba,2014,10.7169/facm/2014.50.1.9,,"Functiones et Approximatio, Commentarii Mathematici",,42519,42519,B,14,Ryszard,Urbański,021418,923977,,TRUE,TRUE
Dualna natura programów komputerowych,cc2840ce-3f88-4ae6-a14e-5c4ed7eb840e,2018,,,Semina Scientiarum,43634,,,B,7,Izabela,Bondecka-Krzykowska,,1480320,,TRUE,TRUE
Dynamic linkages between stock markets: the effects of crises and globalization,7fd754b3-6e9f-411b-aa66-550c54687500,2013,10.1007/s10258-013-0091-1,,Portuguese Economic Journal,,38964,38964,A,15,Ryszard,Doman,002983,1480303,,TRUE,TRUE
"Dynamic Linkages in the Pairs (GBP\EUR, USD\EUR) and (GBP\USD, EUR\USD): How Do They Change During a Day?",477d00c7-4d54-4967-94cc-cb387ab38e9f,2014,,,Central European Journal of Economic Modelling and Econometrics,,42152,42152,B,14,Ryszard,Doman,002983,1480303,,TRUE,TRUE
Dynamical properties of weighted composition operators on the space of smooth functions,b634efee-adb4-4c0f-bc1c-108be7820712,2017,10.1016/j.jmaa.2016.08.029,,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,22916,,,A,40,Adam,Przestacki,,3995615,,TRUE,TRUE
Dynamika powiązań polskiego rynku kapitałowego z rynkami Czech i Węgier oraz głównymi rynkami światowymi,PBN-R:612571,2013,,,STUDIA OECONOMICA POSNANIENSIA,46754,,,B,10,Ryszard,Doman,,1480303,,TRUE,TRUE
E-optimal and highly E-efficient designs with n = 3 (mod 4) correlated observations,814ee48c-8db0-421f-97a4-f81c631d6cc7,2017,10.1080/03081087.2016.1272542,,LINEAR & MULTILINEAR ALGEBRA,,27957,,A,25,Łukasz,Smaga,200621,3993619,,TRUE,TRUE
Edit distance measure for graphs,PX-58ea3eccd5de475251a3c871,2015,10.1007/s10587-015-0211-4,,CZECHOSLOVAK MATHEMATICAL JOURNAL,22041,,,A,15,Krzysztof Zbigniew,Krzywdziński,,1480368,,TRUE,TRUE
Editorial - Geometry of Function Spaces,fffd339f-30e4-49c2-8772-f7413479dbc6,2013,10.1155/2013/636025,,Journal of Function Spaces and Applications,31945,,,A,25,Henryk Teodor,Hudzik,,902327,,TRUE,TRUE
Educational multimedia materials in academic medical training,7905cace-8504-48f7-b2c9-0f2c2709ec95,2014,10.2478/slgr-2014-0045,,"Studies in Logic, Grammar and Rhetoric",29900,,,C,15,Wojciech,Kowalewski,071116,1480310,,TRUE,TRUE
Effective topological complexity of spaces with symmetries,6b7e2fe2-e2af-4624-bc11-430570959634,2017,10.5565/PUBLMAT6211803,,PUBLICACIONS MATEMATIQUES,26775,,,A,35,Zbigniew,Błaszczyk,,3953410,,TRUE,TRUE
Effective topological complexity of spaces with symmetries,6b7e2fe2-e2af-4624-bc11-430570959634,2017,10.5565/PUBLMAT6211803,,PUBLICACIONS MATEMATIQUES,26775,,,A,35,Marek Stanisław,Kaluba,,3980552,,TRUE,TRUE
Effective version of self-approximation for the Riemann zeta function,a8734a88-66f5-4ddd-a0be-e64d7a54fe73,2017,10.1002/mana.201400107,,MATHEMATISCHE NACHRICHTEN,23231,,,A,30,Łukasz,Pańkowski,,1480364,,TRUE,TRUE
Efimov spaces and the separable quotient problem  for spaces Cp(K),8f8d5a9d-912b-40be-9e84-893530e6032e,2018,10.1016/j.jmaa.2017.08.010,,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,22916,,,A,40,Jerzy,Kąkol,,1480285,,TRUE,TRUE
Eigenvalues and entropy moduli of operators in interpolation spaces,1918ca8d-8921-470d-930a-7cb6121ab084,2017,10.1007/s12220-016-9713-z,,The Journal of Geometric Analysis,,,33090,A,35,Mieczysław,Mastyło,,971105,,TRUE,TRUE
Eigenvalues and entropy moduli of operators in interpolation spaces,1918ca8d-8921-470d-930a-7cb6121ab084,2017,10.1007/s12220-016-9713-z,,The Journal of Geometric Analysis,,,33090,A,35,Radosław,Szwedek,,1480353,,TRUE,TRUE
Ellipsoidal geometry of Banach spaces and applications,88d0992a-a961-40e2-95ab-b1f6f13518b6,2017,,,Journal of Nonlinear and Convex Analysis,35593,,,A,35,Radosław,Kaczmarek,,1480356,,TRUE,TRUE
Embedding Properties of Besov-Type Spaces,886404c0-909c-456f-8e0e-b1d87edbccf8,2015,10.1080/00036811.2014.895331,,APPLICABLE ANALYSIS,,21479,21479,A,25,Leszek,Skrzypczak,,1480337,,TRUE,TRUE
Embedding properties of weighted Besov-type spaces,97da10dd-5dfb-4e28-a8bb-ae20869edc4c,2015,10.1142/S0219530514500493,,Analysis and Applications,,26839,26839,A,40,Leszek,Skrzypczak,,1480337,,TRUE,TRUE
Embedding the Erdős–Rényi hypergraph into the random regular hypergraph and Hamiltonicity,30a20fbb-1b28-4075-bb33-cb3f2f113363,2017,10.1016/j.jctb.2016.09.003,,JOURNAL OF COMBINATORIAL THEORY SERIES B,25253,,,A,35,Andrzej,Ruciński,,1480332,,TRUE,TRUE
Embeddings of Besov-Morrey spaces on bounded domains,31ccf960-bef6-4dd9-bd6c-75b84d243f1e,2013,10.4064/sm218-2-2,,STUDIA MATHEMATICA,24165,,,A,25,Leszek,Skrzypczak,027225,1480337,,TRUE,TRUE
Embeddings of weighted Morrey spaces,d00c9919-924e-4bd9-986d-3098e082fa44,2017,10.1002/mana.201600165,,MATHEMATISCHE NACHRICHTEN,23231,,,A,30,Leszek,Skrzypczak,,1480337,,TRUE,TRUE
Equivariant Jones polynomials of periodic links,58054854-cab8-41b7-a807-53a5cf6222ab,2017,10.1142/S0218216517410073,,JOURNAL OF KNOT THEORY AND ITS RAMIFICATIONS,26814,,,A,20,Wojciech Paweł,Politarczyk,,3996064,,TRUE,TRUE
Equivariant maps between representation spheres,e40309b7-7449-41dd-9493-ec25e46e7241,2017,,,BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVIN,36034,,,A,15,Zbigniew,Błaszczyk,,3953410,,TRUE,TRUE
Equivariant maps between representation spheres,e40309b7-7449-41dd-9493-ec25e46e7241,2017,,,BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVIN,36034,,,A,15,Wacław Bolesław,Marzantowicz,,1480294,,TRUE,TRUE
"Erratum and addendum to the paper ""Compactness and essential norms of composition operators on Orlicz-Lorentz spaces"" [Applied Mathematics Letters 25 (2012) 1778--1783]",7f3acd2b-770a-4552-b0ac-8f4ae273af60,2014,10.14708/cm.v54i2.706,,Commentationes Mathematicae,28616,,,B,9,Henryk Teodor,Hudzik,,902327,,TRUE,TRUE
Erratum to: Nonseparable closed vector subspaces of separable topological vector spaces,8ee6d031-5b57-4f3c-b12c-a4d3d0aaadbf,2017,10.1007/s00605-016-0943-8,,MONATSHEFTE FUR MATHEMATIK,23327,,,A,25,Jerzy,Kąkol,,1480285,,TRUE,TRUE
Euler type partial differential operators on real analytic functions,PX-58d81968d5ded3acc6da22c2,2016,10.1016/j.jmaa.2016.05.018,,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,22916,,,A,40,Paweł Jan,Domański,,969017,,TRUE,TRUE
Euro or not?  Vulnerability of the Czech and Slovak economies to the transmission of crises - the case of the Hungarian and Greek turmoil.,78729257-bef2-4d9a-a6b5-0f770b835742,2017,10.1016/j.econmod.2016.09.019,,ECONOMIC MODELLING,27254,,,A,25,Piotr Ryszard,Płuciennik,,3934775,,TRUE,TRUE
Euro or not? Vulnerability of Czech and Slovak Economies to Regional and International Turmoil,96338151-084e-49cd-832f-ce1c8b2bc8a1,2016,10.1016/j.econmod.2016.09.019,,ECONOMIC MODELLING,27254,,,A,25,Piotr Ryszard,Płuciennik,,3934775,,TRUE,TRUE
Evolutionarily tuned generalized pseudo-inverse in linear discriminant analysis,76779386-ea33-41ef-9bc9-d64ff699ad32,2016,,,COMPUTING AND INFORMATICS,35530,,,A,15,Tomasz Dariusz,Górecki,,924005,,TRUE,TRUE
Existence of monotonic $L_\varphi$-solutions for quadratic Volterra functional-integral equations,95b0afa4-7d79-4be3-93f0-33d8e4309d65,2015,10.14232/ejqtde.2015.1.13,,Electronic Journal of Qualitative Theory of Differential Equations,36424,,,A,30,Mieczysław,Cichoń,035091,923959,,TRUE,TRUE
Existence theory for semilinear evolution inclusions involving measures,78cf7941-da01-4001-82c8-4491cbb32aff,2017,10.1002/mana.201600162,,MATHEMATISCHE NACHRICHTEN,23231,,,A,30,Mieczysław,Cichoń,,923959,,TRUE,TRUE
Explicit zero-counting theorem for Hecke-Landau zeta-functions,8091054c-6fd7-469c-b006-e3d4edfac580,2017,10.1017/S0004972716001106,,BULLETIN OF THE AUSTRALIAN MATHEMATICAL SOCIETY,21622,,,A,20,Maciej,Grześkowiak,,1480328,,TRUE,TRUE
Extension and restriction for Bergman scale of spaces and one dimensional subvarieties on convex finite type domains,cc50bbee-d191-4953-a182-69a3bf90f41d,2016,,,NAGOYA MATHEMATICAL JOURNAL,23362,,,A,30,Jasiczak,Michał,,3934878,,TRUE,TRUE
Extension from linear subvarieties for the Bergman scale of spaces on convex domains,a7aa1476-08e7-4f6c-9506-5d908b10c1b6,2014,10.4064/ap112-1-1,,Annales Polonici Mathematici,24698,,,A,15,Michał,Jasiczak,111728,3934878,,TRUE,TRUE
Extension of Pettis integration: Pettis operators and their integrals,PX-5b05b64fd5def17db65b5516,2018,10.1007/s13348-018-0225-y,,Collectanea Mathematica,21948,,,A,30,Lech,Drewnowski,,1480308,,TRUE,
External validation of the IOTA ADNEX model performed by two independent gynecologic centers,0467fc60-5b75-468d-acc8-a9d6cc2324fd,2016,10.1016/j.ygyno.2016.06.020,,GYNECOLOGIC ONCOLOGY,25120,,,A,40,Krzysztof,Dyczkowski,095073,1480318,,TRUE,TRUE
External validation of the IOTA ADNEX model performed by two independent gynecologic centers,0467fc60-5b75-468d-acc8-a9d6cc2324fd,2016,10.1016/j.ygyno.2016.06.020,,GYNECOLOGIC ONCOLOGY,25120,,,A,40,Anna,Stachowiak,118293,1480351,,TRUE,TRUE
External validation of the IOTA ADNEX model performed by two independent gynecologic centers,0467fc60-5b75-468d-acc8-a9d6cc2324fd,2016,10.1016/j.ygyno.2016.06.020,,GYNECOLOGIC ONCOLOGY,25120,,,A,40,Patryk,Żywica,202386,3992437,,TRUE,TRUE
Extreme values for L-functions from the Selberg class,d939986b-86f4-4363-9651-59fe4bb04079,2013,10.1142/S1793042113500152,,JOURNAL OF NUMBER THEORY,22954,,,A,20,Łukasz,Pańkowski,200016,1480364,,TRUE,TRUE
Factorization and extension of positive homogeneous polynomials.,34e156c0-9f88-476b-b37d-196f5abcf348,2014,10.4064/sm221-1-5,,STUDIA MATHEMATICA,24165,,,A,25,Mieczysław,Mastyło,027096,971105,,TRUE,TRUE
"Factorization of (q,p)-summing polynomials through Lorentz spaces",aef6a3ab-0972-4f9f-8f26-8b4018bf9ed6,2017,10.1016/j.jmaa.2016.12.005,,JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,22916,,,A,40,Mieczysław,Mastyło,,971105,,TRUE,TRUE
Factorization of Operators Through Orlicz Spaces,8724d3bd-9ee7-436d-a63f-f764a65d9589,2017,10.1007/s40840-015-0158-5,,Bulletin of the Malaysian Mathematical Sciences Society,25463,,,A,35,Mieczysław,Mastyło,,971105,,TRUE,TRUE
Factors Driving Consumers’ Inflation Expectations: Does the Central Bank’s Inflation Forecast Really Matter?,ae300692-3f69-4fb5-8690-c35e202e86b1,2018,10.1080/00128775.2018.1467781,,EASTERN EUROPEAN ECONOMICS,22116,,,A,15,Piotr Ryszard,Płuciennik,,3934775,,TRUE,TRUE
Families of triples with high minimum degree are hamiltonian,5afd9645-a0a7-4b52-8351-39d61f295810,2014,10.7151/dmgt.1743,,Discussiones Mathematicae Graph Theory,,43284,43284,A,15,Andrzej,Ruciński,,1480332,,TRUE,TRUE
fdANOVA: an R software package for analysis of variance for univariate and multivariate functional data,0ffb0e37-3d9f-4210-b366-f4ac5d739a1a,2018,10.1007/s00180-018-0842-7,,COMPUTATIONAL STATISTICS,31146,,,A,20,Tomasz Dariusz,Górecki,,924005,,TRUE,TRUE
fdANOVA: an R software package for analysis of variance for univariate and multivariate functional data,0ffb0e37-3d9f-4210-b366-f4ac5d739a1a,2018,10.1007/s00180-018-0842-7,,COMPUTATIONAL STATISTICS,31146,,,A,20,Łukasz,Smaga,,3993619,,TRUE,TRUE
Filozofia logiki i matematyki w Kole Krakowskim,f6d34b94-35f9-4df8-af98-ed8a24ff9d31,2014,,,Filozofia Nauki (Philosophy of Science),,34945,,C,15,Roman,Murawski,021531,1480282,,TRUE,TRUE
Finding Hamilton cycles in random intersection graphs,5a5debce-5755-4b54-8574-dfe7ea289b77,2018,10.23638/DMTCS-20-1-8,,Discrete Mathematics and Theoretical Computer Science,47793,,,A,20,Katarzyna Natalia,Rybarczyk-Krzywdzińska,,1480355,,TRUE,TRUE
Finding large co-Sidon subsets in sets with a given additive energy,2a2cc3e6-70f2-4727-a554-a3a58cbec67f,2013,10.1016/j.ejc.2013.04.002,,EUROPEAN JOURNAL OF COMBINATORICS,26520,,,A,30,Tomasz,Schoen,064923,1480313,,TRUE,TRUE
First and Second Derivatives in Time Series Classification Using DTW,d267c51a-aa5d-4217-9504-67cff013f028,2014,10.1080/03610918.2013.775296,,COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION,28436,,,A,15,Tomasz Dariusz,Górecki,,924005,,TRUE,TRUE
Forty years of Hutton fuzzy unit interval,0c03a28b-1329-42bb-b24e-174cbd82e94b,2015,10.1016/j.fss.2015.06.008,,FUZZY SETS AND SYSTEMS,26017,,,A,40,Tomasz,Kubiak,,1480335,,TRUE,TRUE
Fractional integral operators between Banach function lattices,a6f45aeb-40c7-4a83-8ac3-cc6d617a7cef,2015,10.1016/j.na.2015.01.014,,NONLINEAR ANALYSIS-THEORY METHODS & APPLICATIONS,28477,,,A,45,Mieczysław,Mastyło,027096,971105,,TRUE,TRUE
Free locally convex spaces with a small bases,a2f5f2f9-176d-49f6-b988-1370c989d1b1,2017,10.1007/s13398-016-0315-1,,"Revista de la Real Academia de Ciencias Exactas, Físicas y Naturales. Serie A. Matemáticas",38632,,,A,30,Jerzy,Kąkol,,1480285,,TRUE,TRUE
Functional discriminant coordinates,017150b8-96b0-469a-b7ae-5b975b00c2a0,2014,10.1080/03610926.2013.828074,,COMMUNICATIONS IN STATISTICS-THEORY AND METHODS,28437,,,A,15,Tomasz Dariusz,Górecki,,924005,,TRUE,TRUE
Functional discriminant coordinates,017150b8-96b0-469a-b7ae-5b975b00c2a0,2014,10.1080/03610926.2013.828074,,COMMUNICATIONS IN STATISTICS-THEORY AND METHODS,28437,,,A,15,Mirosław,Krzyśko,027331,915410,,TRUE,TRUE
Functional discriminant coordinates,017150b8-96b0-469a-b7ae-5b975b00c2a0,2014,10.1080/03610926.2013.828074,,COMMUNICATIONS IN STATISTICS-THEORY AND METHODS,28437,,,A,15,Łukasz,Waszak,,,,TRUE,FALSE
Funkcjonalna analiza składowych głównych PKB,a3bf9013-adee-4827-98c7-e7a300f2c2b1,2013,,,Wiadomości Statystyczne,24389,,,B,12,Tomasz Dariusz,Górecki,,924005,,TRUE,TRUE
Gain of regularity in extension problem on convex domains,d16ea3ff-c774-4b17-8096-c3de7391ee4f,2015,10.1155/2015/295759,,Journal of Function Spaces,,50696,,A,15,Michał,Jasiczak,111728,3934878,,TRUE,TRUE
Galois Symmetries of Bethe Parameters for the Heisenberg Pentagon,9c750739-01d3-4430-8a52-45e297ba47fc,2013,10.1016/S0034-4877(13)60030-0,,REPORTS ON MATHEMATICAL PHYSICS,23817,,,A,20,Grzegorz Marian,Banaszak,,1480338,,TRUE,TRUE
Galois Symmetries of Bethe Parameters for the Heisenberg Pentagon,9c750739-01d3-4430-8a52-45e297ba47fc,2013,10.1016/S0034-4877(13)60030-0,,REPORTS ON MATHEMATICAL PHYSICS,23817,,,A,20,Bogdan,Szydło,027171,1480334,,TRUE,TRUE
Gaussian fluctuations of Jack-deformed random Young diagrams,PX-5c792875d5de595fd1a521a2,2018,10.1007/s00440-018-0854-9,,PROBABILITY THEORY AND RELATED FIELDS,26379,,,A,35,Maciej Wojciech,Dołęga,,3963624,0000-0003-0692-4792,TRUE,TRUE
Gaussian fluctuations of Young diagrams and structure constants of Jack characters,d62dc1dd-49bd-4772-895d-bf6e223a264b,2016,10.1215/00127094-3449566,,DUKE MATHEMATICAL JOURNAL,,22102,,A,45,Maciej Wojciech,Dołęga,,3963624,,FALSE,TRUE
General $\Omega$-theorems for coefficients of L-functions,eff4aa71-2066-4cd2-9102-614861203607,2015,10.1090/proc/12652,,PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,21370,,,A,25,Jerzy,Kaczorowski,005746,969486,,TRUE,TRUE
General Bourgin–Yang theorems,57762acb-1d3a-4086-8b02-b0c25abb54ac,2018,10.1016/j.topol.2018.09.010,,TOPOLOGY AND ITS APPLICATIONS,26103,,,A,20,Zbigniew,Błaszczyk,,3953410,,TRUE,TRUE
General Bourgin–Yang theorems,57762acb-1d3a-4086-8b02-b0c25abb54ac,2018,10.1016/j.topol.2018.09.010,,TOPOLOGY AND ITS APPLICATIONS,26103,,,A,20,Wacław Bolesław,Marzantowicz,,1480294,,TRUE,TRUE
Generalized von Neumann-Jordan constant and its relationship to the fixed point property,7993a976-71bf-442a-93cb-59534db7987d,2015,10.1186/s13663-015-0288-3,,Fixed Point Theory and Applications,39570,,,A,45,Henryk Teodor,Hudzik,,902327,,TRUE,TRUE
Generalized von Neumann-Jordan constant and its relationship to the fixed point property,7993a976-71bf-442a-93cb-59534db7987d,2015,10.1186/s13663-015-0288-3,,Fixed Point Theory and Applications,39570,,,A,45,Radosław,Kaczmarek,,1480356,,TRUE,TRUE
Geometric interpolation of entropy numbers,bea6fd7c-3c1e-4a60-a1d6-6f0137949fa4,2018,10.1093/qmath/hax044,,QUARTERLY JOURNAL OF MATHEMATICS,23773,,,A,25,Radosław,Szwedek,,1480353,,TRUE,TRUE
