title,system-identifier,publication-date,doi,is-conference,book-title,author-given-names,author-family-name,author-id-system,author-id-pbn,author-id-orcid,author-affiliated-to-unit,author-employed-in-unit
Kształcenie na odległość z wykorzystaniem repozytoriów materiałów dydaktycznych dużych rozmiarów,0e9ddb1b-a47e-4381-b673-638083340b08,2013,,,Kształcenie na odległość z wykorzystaniem repozytoriów materiałów dydaktycznych dużych rozmiarów,Jacek,Marciniak,074900,3934773,,TRUE,TRUE
Logika a kognitywistyka,309e36f9-200c-4c3e-b9e8-478de5787c3b,2014,,,Logika a kognitywistyka,Roman,Murawski,021531,1480282,,TRUE,TRUE
Logika rozmyta w ocenie alternatywnych systemów pomiarowych jako jeden z kierunków rozwoju MSA,4bd03f6a-6732-45e0-a365-ac22e9b87c74,2014,,,Logika rozmyta w ocenie alternatywnych systemów pomiarowych jako jeden z kierunków rozwoju MSA,Krzysztof,Dyczkowski,095073,1480318,,TRUE,TRUE
Management of groups in distance education,0d291e8d-6ea3-42a4-ae36-d84d847553bc,2014,,,Management of groups in distance education,Wojciech,Kowalewski,071116,1480310,,TRUE,TRUE
Metakognitiv-diskursive Unterrichtskultur im Religionsunterricht – Analyse und Beurteilung mithilfe eines Ratingsystems,6034706c-d547-4c14-b17b-4aabb6c5258c,2018,,,Metakognitiv-diskursive Unterrichtskultur im Religionsunterricht – Analyse und Beurteilung mithilfe eines Ratingsystems,Edyta Agnieszka,Nowińska,,1480361,,,TRUE
Metakognitiv-diskursive Unterrichtsqualität im Geschichtsunterricht – Analyse und Einschätzung mithilfe eines Ratingsystems,c00daf0a-155f-4718-b97c-ee12c7f78b82,2018,,,Metakognitiv-diskursive Unterrichtsqualität im Geschichtsunterricht – Analyse und Einschätzung mithilfe eines Ratingsystems,Edyta Agnieszka,Nowińska,,1480361,,,TRUE
Monotonicity properties of Banach lattices and their applications – a survey,PBN-R:686789,2016,10.1007/978-3-319-27842-1_14,TRUE,Monotonicity properties of Banach lattices and their applications – a survey,Paweł,Foralewski,,1480311,,TRUE,TRUE
Monotonicity properties of Banach lattices and their applications – a survey,PBN-R:686789,2016,10.1007/978-3-319-27842-1_14,TRUE,Monotonicity properties of Banach lattices and their applications – a survey,Henryk Teodor,Hudzik,,902327,,TRUE,TRUE
Monotonicity properties of Banach lattices and their applications – a survey,PBN-R:686789,2016,10.1007/978-3-319-27842-1_14,TRUE,Monotonicity properties of Banach lattices and their applications – a survey,Marek,Wisła,,1480331,,TRUE,TRUE
"Motivic Serre group, algebraic Sato-Tate group and Sato-Tate conjecture",PX-58c1bcf2d5dede0e300cc524,2016,,TRUE,"Motivic Serre group, algebraic Sato-Tate group and Sato-Tate conjecture",Grzegorz Marian,Banaszak,,1480338,,TRUE,TRUE
Multi-Sorted Residuation,fdad2e68-2aa6-4f3c-b8de-44f40d31e706,2014,10.1007/978-3-642-54789-8_8,,Multi-Sorted Residuation,Wojciech,Buszkowski,012847,1480297,,TRUE,TRUE
Multivariate Functional Regression Analysis with Application to Classification Problems,9511d148-6114-4ff3-97b7-557dccf4ab4e,2016,10.1007/978-3-319-25226-1_15,TRUE,Multivariate Functional Regression Analysis with Application to Classification Problems,Tomasz Dariusz,Górecki,,924005,,TRUE,TRUE
Multivariate Functional Regression Analysis with Application to Classification Problems,9511d148-6114-4ff3-97b7-557dccf4ab4e,2016,10.1007/978-3-319-25226-1_15,TRUE,Multivariate Functional Regression Analysis with Application to Classification Problems,Mirosław,Krzyśko,,915410,,TRUE,TRUE
Multivariate Functional Regression Analysis with Application to Classification Problems,9511d148-6114-4ff3-97b7-557dccf4ab4e,2016,10.1007/978-3-319-25226-1_15,TRUE,Multivariate Functional Regression Analysis with Application to Classification Problems,Waldemar,Wołyński,,923993,,TRUE,TRUE
"Muzeum w Internecie: e-learning, multimedia i wortale informacyjne w promocji kultury i sztuki",2f11a3a8-c944-4c73-8ec0-6a780467718a,2013,,,"Muzeum w Internecie: e-learning, multimedia i wortale informacyjne w promocji kultury i sztuki",Jacek,Marciniak,074900,3934773,,TRUE,TRUE
Nauczanie matematyki i informatyki. Nowy kierunek studiów na UAM w Poznaniu,863c1486-77cd-44a3-ad58-34d5b5a9c2e3,2016,,,Nauczanie matematyki i informatyki. Nowy kierunek studiów na UAM w Poznaniu,Aldona,Dutkiewicz,,1480317,,TRUE,TRUE
Nauczanie matematyki i informatyki. Nowy kierunek studiów na UAM w Poznaniu,863c1486-77cd-44a3-ad58-34d5b5a9c2e3,2016,,,Nauczanie matematyki i informatyki. Nowy kierunek studiów na UAM w Poznaniu,Mirosława,Kołowska-Gawiejnowicz,,1480344,,TRUE,TRUE
New Method for Assessment of Raters Agreement Based on Fuzzy Similarity,PX-58cc37bad5de5ba5a7ee0026,2015,10.1007/978-3-319-19719-7_36,TRUE,New Method for Assessment of Raters Agreement Based on Fuzzy Similarity,Krzysztof,Dyczkowski,,1480318,,TRUE,TRUE
Ocena ryzyka inwestycji w metale szlachetne w okresie światowego kryzysu finansowego,211b1cf1-7793-46b4-b909-0cb57beaab12,2015,,,Ocena ryzyka inwestycji w metale szlachetne w okresie światowego kryzysu finansowego,Piotr Ryszard,Płuciennik,,3934775,,TRUE,TRUE
"Odkrywka, czyli leksykografia diachroniczna live",e4114cb5-ef24-4831-a460-49e4932c9e77,2018,,TRUE,"Odkrywka, czyli leksykografia diachroniczna live",Filip,Graliński,,1480349,,TRUE,TRUE
On Canonical Embeddings of Residuated Groupoids,e4e4dc24-c31d-4504-b529-31ac0b5ba5ad,2014,,,On Canonical Embeddings of Residuated Groupoids,Mirosława,Kołowska-Gawiejnowicz,,1480344,,TRUE,TRUE
On Classical Nonassociative Lambek Calculus,6b7432d3-1734-4ed9-a61f-a350c117450a,2016,,TRUE,On Classical Nonassociative Lambek Calculus,Wojciech,Buszkowski,,1480297,,TRUE,TRUE
On Proof in Mathematics,e4f0dc78-bf00-4317-ad16-f5441eeba02b,2013,,,On Proof in Mathematics,Roman,Murawski,021531,1480282,,TRUE,TRUE
On the Aronszajn Property for Differential Equations of Fractional Order in Banach Spaces,05705d1f-01f9-4187-aed2-6b16a71a7d75,2017,,,On the Aronszajn Property for Differential Equations of Fractional Order in Banach Spaces,Aldona,Dutkiewicz,,1480317,,TRUE,TRUE
On the development of NLP tools for the Georgian language,PX-5aa967f3d5ded291c746dd8a,2017,,TRUE,On the development of NLP tools for the Georgian language,Krzysztof,Jassem,,922753,,TRUE,TRUE
On the Way to Modern Logic: The Case of Polish Logic,c507aea2-7013-4245-aab5-48d9c38f9d08,2016,,,On the Way to Modern Logic: The Case of Polish Logic,Roman,Murawski,021531,1480282,,TRUE,TRUE
Ontologia matematyki i logiki w Szkole Lwowsko-Warszawskiej,99927660-dbec-4a98-92c3-f0fc9821a1e6,2018,,,Ontologia matematyki i logiki w Szkole Lwowsko-Warszawskiej,Roman,Murawski,021531,1480282,,TRUE,TRUE
Ontology of Logic and Mathematics in Lvov-Warsaw School,211bcb1d-6686-4140-a8a8-3084bb1ed092,2018,10.1007/978-3-319-65430-0_44,,Ontology of Logic and Mathematics in Lvov-Warsaw School,Roman,Murawski,,1480282,,TRUE,TRUE
Parsing pregroup grammars with letter promotions in polynomial time,PX-58d42f51d5dea70817e90992,2013,10.1007/978-3-642-39998-5_4,TRUE,Parsing pregroup grammars with letter promotions in polynomial time,Katarzyna Maria,Moroz,,1480359,,TRUE,TRUE
Patterns of currency co-movement: Changes in the impact of global currencies,2ac1f522-97f5-42fb-b944-cd34e9d9129f,2018,,TRUE,Patterns of currency co-movement: Changes in the impact of global currencies,Ryszard,Doman,002983,1480303,,TRUE,TRUE
Phase Spaces for Involutive Nonassociative Lambek Calculus,PX-5aa972fdd5ded291c746deb0,2017,,TRUE,Phase Spaces for Involutive Nonassociative Lambek Calculus,Wojciech,Buszkowski,,1480297,,TRUE,TRUE
Philosophy of mathematics and logic in Cracow between the wars,c16fdfaa-fee4-4f02-8ce6-9bc42246aa05,2014,,,Philosophy of mathematics and logic in Cracow between the wars,Roman,Murawski,021531,1480282,,TRUE,TRUE
Philosophy of mathematics in Poland in the 20th century,c6b8b184-cad0-441d-8f48-0b87a497956a,2013,,,Philosophy of mathematics in Poland in the 20th century,Roman,Murawski,021531,1480282,,TRUE,TRUE
Podstawowe założenia modelowego programu praktyk studenckich i opis ich realizacji,33c87a60-5f21-4390-a15c-a49349bb5f37,2014,,,Podstawowe założenia modelowego programu praktyk studenckich i opis ich realizacji,Edyta Maria,Juskowiak,,1480372,,TRUE,TRUE
Podstawowe założenia modelowego programu praktyk studenckich i opis ich realizacji,33c87a60-5f21-4390-a15c-a49349bb5f37,2014,,,Podstawowe założenia modelowego programu praktyk studenckich i opis ich realizacji,Edyta Agnieszka,Nowińska,,1480361,,TRUE,TRUE
PolNet - Polish WordNet,PX-58d70096d5deece355a3da18,2014,10.1007/978-3-319-08958-4_33,TRUE,PolNet - Polish WordNet,Zygmunt,Vetulani,,1210265,,TRUE,TRUE
Processing historical texts with contemporary NLP tools,6110ed59-29f6-494a-abcf-c17bd89abae6,2017,,TRUE,Processing historical texts with contemporary NLP tools,Krzysztof,Jassem,,922753,,TRUE,TRUE
Processing historical texts with contemporary NLP tools,6110ed59-29f6-494a-abcf-c17bd89abae6,2017,,TRUE,Processing historical texts with contemporary NLP tools,Paweł Marek,Skórzewski,,3980677,,TRUE,TRUE
Prolegomena do automatyzacji rozpoznawania rosyjskich frazemów werbo-nominalnych,4ed73849-6b6c-43e8-91b3-e8845c2b69ca,2018,,,Prolegomena do automatyzacji rozpoznawania rosyjskich frazemów werbo-nominalnych,Filip,Graliński,,1480349,,TRUE,TRUE
Prolegomena do automatyzacji rozpoznawania rosyjskich frazemów werbo-nominalnych,4ed73849-6b6c-43e8-91b3-e8845c2b69ca,2018,,,Prolegomena do automatyzacji rozpoznawania rosyjskich frazemów werbo-nominalnych,Dawid Andrzej,Jurkiewicz,,79564667,,TRUE,
Pros and Cons of Normalizing Text with Thrax,85c2b17f-2d75-43e9-8f1e-562dc87bb74b,2017,,TRUE,Pros and Cons of Normalizing Text with Thrax,Filip,Graliński,,1480349,,TRUE,TRUE
Pros and Cons of Normalizing Text with Thrax,85c2b17f-2d75-43e9-8f1e-562dc87bb74b,2017,,TRUE,Pros and Cons of Normalizing Text with Thrax,Krzysztof,Jassem,,922753,,TRUE,TRUE
Pros and Cons of Normalizing Text with Thrax,85c2b17f-2d75-43e9-8f1e-562dc87bb74b,2017,,TRUE,Pros and Cons of Normalizing Text with Thrax,Tomasz Marek,Obrębski,,3934772,,TRUE,TRUE
PSI-Toolkit: A Natural Language Processing Pipeline,PX-58d57522d5dee8a5c51b038c,2013,10.1007/978-3-642-34399-5_2,,PSI-Toolkit: A Natural Language Processing Pipeline,Filip,Graliński,,1480349,,TRUE,TRUE
PSI-Toolkit: A Natural Language Processing Pipeline,PX-58d57522d5dee8a5c51b038c,2013,10.1007/978-3-642-34399-5_2,,PSI-Toolkit: A Natural Language Processing Pipeline,Krzysztof,Jassem,,922753,,TRUE,TRUE
PSI-Toolkit: A Natural Language Processing Pipeline,PX-58d57522d5dee8a5c51b038c,2013,10.1007/978-3-642-34399-5_2,,PSI-Toolkit: A Natural Language Processing Pipeline,Marcin,Junczys-Dowmunt,,1480360,,TRUE,TRUE
Randomly generated groups,f736b8c5-783e-4a63-9d6f-55ccd1448bb3,2015,,,Randomly generated groups,Tomasz,Łuczak,,1480343,,TRUE,TRUE
Ratingsystem zur Beurteilung metakognitiv-diskursiver Unterrichtsqualität,229fe167-7f03-4a4a-bea6-373d5c56e1f3,2018,,,Ratingsystem zur Beurteilung metakognitiv-diskursiver Unterrichtsqualität,Edyta Agnieszka,Nowińska,,1480361,,FALSE,TRUE
RE-RESEARCH.PL: Naprzeciw współczesnym wyzwaniom archeologii językowej,da9cff62-b10b-42bb-9528-ed048113ccee,2018,,TRUE,RE-RESEARCH.PL: Naprzeciw współczesnym wyzwaniom archeologii językowej,Filip,Graliński,,1480349,,TRUE,TRUE
Readiness of primary school students to solve mathematical tasks requiring the use of formal operations (part of research),edfa4ffd-8d70-4e1c-937c-b18b40b42009,2018,,TRUE,Readiness of primary school students to solve mathematical tasks requiring the use of formal operations (part of research),Edyta Maria,Juskowiak,,1480372,,TRUE,TRUE
Recent progress in complex network analysis - Properties of random intersection graphs,a4b91124-38f3-424a-8ff8-02fbdd60c129,2015,,TRUE,Recent progress in complex network analysis - Properties of random intersection graphs,Jerzy,Jaworski,,1480290,,TRUE,TRUE
Recent progress in complex network analysis - Properties of random intersection graphs,a4b91124-38f3-424a-8ff8-02fbdd60c129,2015,,TRUE,Recent progress in complex network analysis - Properties of random intersection graphs,Katarzyna Natalia,Rybarczyk-Krzywdzińska,,1480355,,TRUE,TRUE
Recent Progress in Complex Network Analysis: Models of Random Intersection Graphs,0438ab94-4892-4c24-be20-0082b35e982d,2015,10.1007/978-3-662-44983-7_6,TRUE,Recent Progress in Complex Network Analysis: Models of Random Intersection Graphs,Jerzy,Jaworski,,1480290,,TRUE,TRUE
Recent Progress in Complex Network Analysis: Models of Random Intersection Graphs,0438ab94-4892-4c24-be20-0082b35e982d,2015,10.1007/978-3-662-44983-7_6,TRUE,Recent Progress in Complex Network Analysis: Models of Random Intersection Graphs,Katarzyna Natalia,Rybarczyk-Krzywdzińska,,1480355,,TRUE,TRUE
Recognition and multi-layered analysis of converbs in early NIA,PX-59a6ce5cd5decf2a9c0c38c7,2017,,TRUE,Recognition and multi-layered analysis of converbs in early NIA,Rafał Tomasz,Jaworski,,3957889,,TRUE,TRUE
Regular hypergraphs: asymptotic counting and loose Hamilton cycles,ca363748-110e-4a26-a197-627e24af1acd,2013,,TRUE,Regular hypergraphs: asymptotic counting and loose Hamilton cycles,Andrzej,Ruciński,009540,1480332,,TRUE,TRUE
Remarks concerning M-constants in Banach lattices,e3a72ea8-7677-43c4-ac25-0e736b949f98,2014,,TRUE,Remarks concerning M-constants in Banach lattices,Witold,Wnuk,066516,1480287,,TRUE,TRUE
RetroC – A Corpus for Evaluating Temporal Classifiers,PX-5c864ab4d5de6f9b442731a7,2018,10.1007/978-3-319-93782-3_8,TRUE,RetroC – A Corpus for Evaluating Temporal Classifiers,Filip,Graliński,,1480349,,TRUE,TRUE
Scheduling Data Gathering in 2-Level Tree Networks,PX-5aa9876cd5ded291c746e0d4,2017,,TRUE,Scheduling Data Gathering in 2-Level Tree Networks,Joanna Helena,Berlińska,,1480369,,TRUE,TRUE
Scheduling data gathering with limited base station memory,492ed5d6-99b5-48b2-b290-734be627b504,2018,,TRUE,Scheduling data gathering with limited base station memory,Joanna,Berlińska,190046,1480369,,TRUE,TRUE
Scheduling Data Gathering with Maximum Lateness Objective,90ced4da-d55f-4738-9982-e7731f3b8f76,2018,,TRUE,Scheduling Data Gathering with Maximum Lateness Objective,Joanna Helena,Berlińska,,1480369,,TRUE,TRUE
Scheduling non-preemptive data gathering affected by background communications,8bafd58e-4d98-49fc-b5d8-a0fcf1f58afc,2018,,TRUE,Scheduling non-preemptive data gathering affected by background communications,Joanna Helena,Berlińska,,1480369,,TRUE,TRUE
Selected aspects of working in groups while solving a certain task in a foreign language.,0fcdea31-e647-4511-9966-15d85b1fd9de,2018,,TRUE,Selected aspects of working in groups while solving a certain task in a foreign language.,Magdalena,Adamczak,,924040,,TRUE,TRUE
Separation of Finitely Many Convex Sets and Data Pre-classification,74ec23cc-5d4c-4ea9-b86b-1198dd397b3b,2014,10.1007/978-1-4939-0808-0_9,,Separation of Finitely Many Convex Sets and Data Pre-classification,Jerzy Aleksander,Grzybowski,,1480339,,TRUE,TRUE
Separation of Finitely Many Convex Sets and Data Pre-classification,74ec23cc-5d4c-4ea9-b86b-1198dd397b3b,2014,10.1007/978-1-4939-0808-0_9,,Separation of Finitely Many Convex Sets and Data Pre-classification,Ryszard,Urbański,021418,923977,,TRUE,TRUE
Seweryna Łuszczewska-Romahnowa,fb484db9-261d-4e19-9520-dbaebb804cfb,2018,10.1007/978-3-319-65430-0_18,,Seweryna Łuszczewska-Romahnowa,Roman,Murawski,,1480282,,TRUE,TRUE
"Some historical, philosophical and methodological remarks on proof in mathematics",db78b0ca-54ce-41a8-a3c5-15064af246c8,2016,,,"Some historical, philosophical and methodological remarks on proof in mathematics",Roman,Murawski,021531,1480282,,TRUE,TRUE
Some Syntactic Interpretations in Different Systems of Full Lambek Calculus,10a7bfc9-8576-42ad-821b-00f8a4513d0c,2015,,TRUE,Some Syntactic Interpretations in Different Systems of Full Lambek Calculus,Wojciech,Buszkowski,,1480297,,TRUE,TRUE
Stabilität der metakognitiv-diskursiven Unterrichtsqualität zwischen den Unterrichtsstunden in einer Klasse,be471df7-c60f-422d-8339-f5d679b75292,2018,,TRUE,Stabilität der metakognitiv-diskursiven Unterrichtsqualität zwischen den Unterrichtsstunden in einer Klasse,Edyta Agnieszka,Nowińska,,1480361,,,TRUE
Struve and Biegański: Towards Modern Approach to Logic,54278be3-383a-4253-809c-828e7638c174,2018,10.1007/978-3-319-65430-0_23,,Struve and Biegański: Towards Modern Approach to Logic,Roman,Murawski,,1480282,,TRUE,TRUE
Szacowanie poziomu zgodności ocen w kontroli wizualnej - problemy w wyznaczaniu współczynników typu Kappa,561fddde-ddc9-403e-85b3-ea0839b5b3db,2015,,,Szacowanie poziomu zgodności ocen w kontroli wizualnej - problemy w wyznaczaniu współczynników typu Kappa,Krzysztof,Dyczkowski,095073,1480318,,TRUE,TRUE
TEACHING GAMIFICATION,PX-58cbded7d5de5ba5a7edc146,2015,,TRUE,TEACHING GAMIFICATION,Krzysztof,Jassem,,922753,,TRUE,TRUE
TEACHING GAMIFICATION,PX-58cbded7d5de5ba5a7edc146,2015,,TRUE,TEACHING GAMIFICATION,Bartosz,Piskadło,,,,TRUE,
Teoretyczne ukierunkowanie praktyki dydaktycznej – przykłady i wnioski z operacjonalizacji zagadnień teoretycznych w ramach projektu „Praktyka Czyni Mistrza”,286f38c8-18f8-457a-99af-840a39040cbf,2014,,,Teoretyczne ukierunkowanie praktyki dydaktycznej – przykłady i wnioski z operacjonalizacji zagadnień teoretycznych w ramach projektu „Praktyka Czyni Mistrza”,Edyta Agnieszka,Nowińska,,1480361,,TRUE,TRUE
The Asymptotic Normality of the Global Clustering Coefficient in Sparse Random Intersection Graphs,18cff4c3-6efd-41d0-9ebc-6bdd75f419fc,2018,,TRUE,The Asymptotic Normality of the Global Clustering Coefficient in Sparse Random Intersection Graphs,Jerzy,Jaworski,,1480290,,TRUE,TRUE
The dynamics of linkages between European currencies: How does it change according to the time of day?,f20a4539-ee50-4403-b8fa-a1ed7ba2fde1,2017,,TRUE,The dynamics of linkages between European currencies: How does it change according to the time of day?,Ryszard,Doman,,1480303,,TRUE,TRUE
The Impact of the US Dollar and the Euro on Currencies in Europe and Asia,af7ea0c3-aaf3-433e-82c8-b4988b9999fa,2017,,,The Impact of the US Dollar and the Euro on Currencies in Europe and Asia,Ryszard,Doman,,1480303,,TRUE,TRUE
The Origins of the Theory of Random Graphs,6bbaab84-8073-4516-a17b-4a2dd1eb4a35,2013,,,The Origins of the Theory of Random Graphs,Michał,Karoński,014355,1480309,,TRUE,TRUE
The Origins of the Theory of Random Graphs,6bbaab84-8073-4516-a17b-4a2dd1eb4a35,2013,,,The Origins of the Theory of Random Graphs,Andrzej,Ruciński,009540,1480332,,TRUE,TRUE
The RetroC challenge: how to guess the publication year of a text?,0c213461-86f2-4b27-8610-8e96974de100,2017,10.1145/3078081.3078095,TRUE,The RetroC challenge: how to guess the publication year of a text?,Filip,Graliński,,1480349,,TRUE,TRUE
The RetroC challenge: how to guess the publication year of a text?,0c213461-86f2-4b27-8610-8e96974de100,2017,10.1145/3078081.3078095,TRUE,The RetroC challenge: how to guess the publication year of a text?,Rafał Tomasz,Jaworski,,3957889,,TRUE,TRUE
The Smith Equivalence Problem and the Laitinen Conjecture,PX-5c84db9cd5de4ffe79b8e7c2,2018,,,The Smith Equivalence Problem and the Laitinen Conjecture,Krzysztof,Pawałowski,,1480295,,TRUE,TRUE
The WikEd Error Corpus: A Corpus of Corrective Wikipedia Edits and Its Application to Grammatical Error Correction,PX-58d4da6dd5dee8a5c51926d2,2014,,TRUE,The WikEd Error Corpus: A Corpus of Corrective Wikipedia Edits and Its Application to Grammatical Error Correction,Marcin,Junczys-Dowmunt,,1480360,,TRUE,TRUE
The WikEd Error Corpus: A Corpus of Corrective Wikipedia Edits and Its Application to Grammatical Error Correction,PX-58d4da6dd5dee8a5c51926d2,2014,,TRUE,The WikEd Error Corpus: A Corpus of Corrective Wikipedia Edits and Its Application to Grammatical Error Correction,Roman,Grundkiewicz,,4021404,,TRUE,
The XCDC Relations as a Spatio-Temporal Ontology,PX-58d701a9d5deece355a3e143,2014,10.1007/978-3-319-08958-4_9,TRUE,The XCDC Relations as a Spatio-Temporal Ontology,Jędrzej,Osiński,,,,TRUE,
Through worldNet to lexicon grammar,307ac23e-3295-4448-b6cf-d6db20edbc1e,2014,,,Through worldNet to lexicon grammar,Zygmunt,Vetulani,,1210265,,TRUE,TRUE
Towards Automatic Detection of Correct Domain Words in OCR Texts from Polish Digital Libraries,99e284eb-508b-4bd3-9b2b-2f4fd7257bc7,2017,,TRUE,Towards Automatic Detection of Correct Domain Words in OCR Texts from Polish Digital Libraries,Filip,Graliński,,1480349,,TRUE,TRUE
Towards Automatic Detection of Correct Domain Words in OCR Texts from Polish Digital Libraries,99e284eb-508b-4bd3-9b2b-2f4fd7257bc7,2017,,TRUE,Towards Automatic Detection of Correct Domain Words in OCR Texts from Polish Digital Libraries,Rafał Tomasz,Jaworski,,3957889,,TRUE,TRUE
Towards educating and motivating the crowd – a crowdsourcing platform for harvesting the fruits of NLP students' labour,08e9cfe6-56ca-47ac-b06b-5cbb265d68a4,2017,,TRUE,Towards educating and motivating the crowd – a crowdsourcing platform for harvesting the fruits of NLP students' labour,Rafał Tomasz,Jaworski,,3957889,,TRUE,TRUE
Twierdzenia limitacyjne,9639cd11-fa75-4cf1-8340-60c47678a235,2014,,,Twierdzenia limitacyjne,Roman,Murawski,021531,1480282,,TRUE,TRUE
Two matheuristics for problem 1|p_j=1+b_jt|sum C_j,407c01db-9209-4c69-ba1b-4367eb66dc65,2018,,TRUE,Two matheuristics for problem 1|p_j=1+b_jt|sum C_j,Stanisław Jan,Gawiejnowicz,,3934774,,TRUE,TRUE
Two matheuristics for problem 1|p_j=1+b_jt|sum C_j,407c01db-9209-4c69-ba1b-4367eb66dc65,2018,,TRUE,Two matheuristics for problem 1|p_j=1+b_jt|sum C_j,Wiesław,Kurc,,1480276,,TRUE,
Uncertainty-Preserving Trust Prediction in Social Networks,2d4b26e8-8379-42a6-a3d8-df2a992dd85c,2014,,,Uncertainty-Preserving Trust Prediction in Social Networks,Anna,Stachowiak,118293,1480351,,TRUE,TRUE
Use of CPTU for the assessment of the stiffness model of subsoil of subsoil,PBN-R:782513,2016,,TRUE,Use of CPTU for the assessment of the stiffness model of subsoil of subsoil,Waldemar,Wołyński,,923993,,TRUE,TRUE
Vive la Petite Difference! Exploiting Small Differences for Gender Attribution of Short Texts,PX-58d22a06d5de62577995b749,2016,10.1007/978-3-319-45510-5_7,TRUE,Vive la Petite Difference! Exploiting Small Differences for Gender Attribution of Short Texts,Filip,Graliński,,1480349,,TRUE,TRUE
Vive la Petite Difference! Exploiting Small Differences for Gender Attribution of Short Texts,PX-58d22a06d5de62577995b749,2016,10.1007/978-3-319-45510-5_7,TRUE,Vive la Petite Difference! Exploiting Small Differences for Gender Attribution of Short Texts,Rafał Tomasz,Jaworski,,3957889,,TRUE,TRUE
Wpływ kryzysu subprime na determinanty wariancji warunkowej indeksu WIG20,a827d4da-a12d-47ef-a276-47a6f5ccb281,2014,,,Wpływ kryzysu subprime na determinanty wariancji warunkowej indeksu WIG20,Piotr Ryszard,Płuciennik,,3934775,,TRUE,TRUE
Wpływ światowego kryzysu gospodarczego na polski rynek kapitałowy.,a403b525-fcf7-462b-9ae7-a71055d0e108,2013,,,Wpływ światowego kryzysu gospodarczego na polski rynek kapitałowy.,Piotr Ryszard,Płuciennik,,3934775,,TRUE,TRUE
Wybrane metody analizy semantycznej,6f05fb55-b8bd-4dc0-9333-abccd0faf1a1,2015,,,Wybrane metody analizy semantycznej,Krzysztof,Jassem,061870,922753,,TRUE,TRUE
Śledztwo lingwochronologizacyjno-fotodokumentacyjne: o truciu w polskim piśmiennictwie XIX i XX wieku,c8cbbcf7-bca1-4311-b9ca-91dede716440,2017,,,Śledztwo lingwochronologizacyjno-fotodokumentacyjne: o truciu w polskim piśmiennictwie XIX i XX wieku,Filip,Graliński,,1480349,,TRUE,TRUE
“He Said She Said” ― a Male/Female Corpus of Polish,565dfb4d-08fb-4703-a643-a0188dbaeaf9,2016,,TRUE,“He Said She Said” ― a Male/Female Corpus of Polish,Filip,Graliński,118262,1480349,,TRUE,TRUE
